state_name,county_name,rep24,dem24,tot24,rep_share24,dem_share24,rep_margin24,rep20,dem20,tot20,rep_share20,dem_share20,rep_margin20,rep_shift,state_abbr,fraud_cases,integrity_score,integrity_cat
Alabama,Autauga County,20484,7439,28190,0.7266406527137282,0.2638879035118836,0.4627527492018446,19838,7503,27770,0.714368023046453,0.27018365142239825,0.4441843716240547,0.01856837757778989,AL,39,89,Ranked 1-10
Alabama,Baldwin County,95798,24934,121808,0.7864672271115197,0.20469919873899908,0.5817680283725206,83544,24578,109679,0.7617137282433283,0.22409029987509005,0.5376234283682382,0.04414460000428244,AL,39,89,Ranked 1-10
Alabama,Barbour County,5606,4158,9832,0.5701790073230268,0.4229048006509357,0.14727420667209112,5622,4816,10518,0.5345122646891044,0.4578817265639856,0.07663053812511883,0.0706436685469723,AL,39,89,Ranked 1-10
Alabama,Bibb County,7572,1619,9241,0.8193918407098799,0.1751974894491938,0.6441943512606861,7525,1986,9595,0.7842626367899947,0.20698280354351223,0.5772798332464825,0.06691451801420367,AL,39,89,Ranked 1-10
Alabama,Blount County,25354,2576,28115,0.9017961942023832,0.09162368842255024,0.8101725057798329,24711,2640,27588,0.8957155284906481,0.09569377990430622,0.8000217485863419,0.01015075719349101,AL,39,89,Ranked 1-10
Alabama,Bullock County,1101,2983,4106,0.2681441792498782,0.7264978080857282,-0.4583536288358499,1146,3446,4613,0.24842835464990248,0.7470192933015392,-0.49859093865163673,0.04023730981578677,AL,39,89,Ranked 1-10
Alabama,Butler County,5172,3251,8467,0.6108420928309909,0.3839612613676627,0.2268808314633282,5458,3965,9488,0.5752529510961214,0.4178962900505902,0.1573566610455312,0.06952417041779702,AL,39,89,Ranked 1-10
Alabama,Calhoun County,34912,13194,48530,0.7193900679991758,0.2718730682052339,0.44751699979394194,35101,15216,50983,0.6884843967597042,0.29845242531824334,0.3900319714414609,0.05748502835248109,AL,39,89,Ranked 1-10
Alabama,Chambers County,8711,5405,14221,0.6125448280711624,0.38007172491385977,0.23247310315730263,8753,6365,15284,0.5726903951845067,0.4164485736718137,0.15624182151269306,0.07623128164460957,AL,39,89,Ranked 1-10
Alabama,Cherokee County,11358,1553,12984,0.8747689463955638,0.11960874922982132,0.7551601971657425,10583,1624,12301,0.8603365580034144,0.13202178684659785,0.7283147711568165,0.02684542600892592,AL,39,89,Ranked 1-10
Alabama,Chilton County,16920,2698,19728,0.8576642335766423,0.13675993511759937,0.720904298459043,16085,3073,19310,0.8329880890730191,0.1591403417918177,0.6738477472812014,0.04705655117784158,AL,39,89,Ranked 1-10
Alabama,Choctaw County,4103,2515,6646,0.6173638278663858,0.3784231116461029,0.23894071622028284,4296,3127,7464,0.5755627009646302,0.4189442658092176,0.15661843515541268,0.08232228106487016,AL,39,89,Ranked 1-10
Alabama,Clarke County,6965,4927,11946,0.5830403482337184,0.4124393102293655,0.17060103800435297,7324,5755,13135,0.5575942139322421,0.4381423677198325,0.11945184621240956,0.05114919179194338,AL,39,89,Ranked 1-10
Alabama,Clay County,5734,993,6757,0.8486014503477874,0.14695870948645848,0.7016427408613289,5601,1267,6930,0.8082251082251082,0.18282828282828284,0.6253968253968254,0.07624591546450354,AL,39,89,Ranked 1-10
Alabama,Cleburne County,6988,605,7637,0.9150189865130288,0.07921958884378683,0.8357993976692419,6484,675,7227,0.8971910889719109,0.09339975093399752,0.8037913380379134,0.03200805963132858,AL,39,89,Ranked 1-10
Alabama,Coffee County,17495,4601,22270,0.7855859901212393,0.2066008082622362,0.578985181859003,16899,5076,22275,0.7586531986531987,0.22787878787878788,0.5307744107744108,0.04821077108459226,AL,39,89,Ranked 1-10
Alabama,Colbert County,19714,7137,27086,0.7278298752122868,0.26349405596987374,0.4643358192424131,19203,8343,27886,0.688625116545937,0.2991823854263788,0.38944273111955824,0.07489308812285483,AL,39,89,Ranked 1-10
Alabama,Conecuh County,3423,2580,6043,0.5664405096806222,0.4269402614595399,0.13950024822108226,3442,2966,6441,0.5343890700201832,0.4604875019406924,0.07390156807949078,0.06559868014159148,AL,39,89,Ranked 1-10
Alabama,Coosa County,3758,1478,5264,0.7139057750759878,0.28077507598784196,0.4331306990881459,3631,1796,5479,0.6627121737543348,0.3277970432560686,0.33491513049826616,0.09821556858987972,AL,39,89,Ranked 1-10
Alabama,Covington County,14677,2314,17072,0.859711808809747,0.13554358013120898,0.724168228678538,14586,2721,17430,0.8368330464716007,0.15611015490533564,0.6807228915662651,0.04344533711227294,AL,39,89,Ranked 1-10
Alabama,Crenshaw County,5000,1457,6480,0.7716049382716049,0.22484567901234567,0.5467592592592593,4864,1700,6617,0.7350763185733716,0.2569140093698051,0.47816230920356656,0.06859695005569272,AL,39,89,Ranked 1-10
Alabama,Cullman County,38704,4039,43052,0.8990058533866022,0.09381677970825976,0.8051890736783425,36880,4478,41851,0.8812214761893383,0.10699863802537574,0.7742228381639626,0.03096623551437982,AL,39,89,Ranked 1-10
Alabama,Dale County,14476,4484,19103,0.7577867350677904,0.2347275297073758,0.5230592053604146,14303,5170,19738,0.724642820954504,0.2619313000303982,0.46271152092410583,0.06034768443630878,AL,39,89,Ranked 1-10
Alabama,Dallas County,5190,10236,15528,0.33423493044822256,0.6591962905718701,-0.32496136012364757,5524,12230,17864,0.30922525750111957,0.6846171070309002,-0.3753918495297806,0.05043048940613304,AL,39,89,Ranked 1-10
Alabama,DeKalb County,25633,3758,29583,0.8664773687590847,0.1270324172666734,0.7394449514924113,24767,4281,29356,0.8436776127537812,0.14583049461779535,0.6978471181359858,0.04159783335642553,AL,39,89,Ranked 1-10
Alabama,Elmore County,31374,9774,41491,0.7561639873707551,0.23556915957677568,0.5205948277939794,30164,10367,41030,0.7351693882524982,0.2526687789422374,0.4825006093102608,0.03809421848371852,AL,39,89,Ranked 1-10
Alabama,Escambia County,10884,3964,14929,0.7290508406457231,0.2655234777948958,0.4635273628508273,10869,4918,15910,0.6831552482715273,0.3091137649277184,0.3740414833438089,0.08948587950701842,AL,39,89,Ranked 1-10
Alabama,Etowah County,35653,10027,46023,0.7746778784520784,0.217869326206462,0.5568085522456163,35528,11567,47728,0.7443848474689909,0.2423524974857526,0.5020323499832383,0.054776202262378,AL,39,89,Ranked 1-10
